,distilgpt2,Qwen/Qwen2.5-Coder-1.5B
20,1.0,0.9541284403669725
22,0.984375,0.984375
78,1.0,1.0
79,0.9902912621359223,0.9902912621359223
89,0.9908256880733946,0.9908256880733946
94,0.984375,0.863013698630137
125,0.976,0.9606299212598425
190,0.9855072463768116,0.9855072463768116
200,0.9781021897810219,0.9552238805970149
269,0.3225806451612903,0.33043478260869563
276,0.9846153846153847,0.96875
285,0.4258064516129032,0.0
416,0.23404255319148937,0.455026455026455
434,0.987012987012987,0.9803921568627451
476,0.9719626168224299,0.9719626168224299
502,0.9827586206896551,0.9827586206896551
601,0.9743589743589743,0.8235294117647058
611,1.0,0.975609756097561
787,0.9932885906040269,0.9795918367346939
862,0.9848484848484849,0.9770992366412213
