CWE,Precision,Recall,F1-Score,Support
CWE-129,0.98,1.0,0.98989898989899,49
CWE-200,0.625,0.6521739130434783,0.6382978723404256,23
CWE-22,0.48,0.8181818181818182,0.6050420168067226,44
CWE-269,1.0,0.8148148148148148,0.8979591836734694,27
CWE-319,0.7857142857142857,0.8461538461538461,0.8148148148148148,26
CWE-400,0.7391304347826086,0.5,0.5964912280701754,34
CWE-59,0.5,0.6,0.5454545454545454,20
CWE-770,0.6666666666666666,0.7692307692307693,0.7142857142857143,39
CWE-78,1.0,0.8780487804878049,0.935064935064935,41
CWE-79,0.47058823529411764,0.3333333333333333,0.3902439024390244,24
CWE-863,0.7142857142857143,0.5357142857142857,0.6122448979591837,28
CWE-89,0.8918918918918919,0.868421052631579,0.88,38
CWE-918,0.8181818181818182,0.5,0.6206896551724138,18
CWE-94,1.0,0.8888888888888888,0.9411764705882353,18
